,left,right,top,bottom,Name,height,width
333,664,1255,1,1911,ibanez-j-custom-jcrg2002-gnm,1910,591
334,609,1311,8,1903,schecter-e-1-custom-special-edition-vs,1895,702
335,648,1271,8,1911,sterling-by-music-man-john-petrucci-jp70-mystic-dream,1903,623
336,728,1191,0,1919,gretsch-guitars-g5700-lap-steel-thti-rd,1919,463
337,624,1295,0,1919,gretsch-guitars-electromatic-g5232t-double-jet-ft-firestick-red,1919,671
338,576,1343,8,1911,jackson-pro-str-gus-g-sign-ivory,1903,767
339,305,647,0,959,esp-ltd-ec-256fm-dbsb,959,342
340,632,1287,8,1911,gretsch-guitars-streamliner-g2655t-p90-sahara-metallic,1903,655
341,664,1255,8,1911,schecter-silver-mountain-c-7-fr-s,1903,591
342,648,1271,0,1919,squier-affinity-strat-fmt-hss-bb,1919,623
343,656,1263,8,1911,jackson-pro-soloist-sla-unicorn-white,1903,607
344,328,631,8,951,fender-chris-shiflett-telecaster-deluxe-shg,943,303
345,306,647,0,959,danelectro-dc59-bk12-string,959,341
346,648,1271,8,1911,fender-player-stratocaster-mn-bcr,1903,623
347,656,1271,0,1911,jackson-dinky-js32-dka-pap,1911,615
348,576,1343,0,1919,jackson-x-series-kelly-kex-ferrari-red,1919,767
349,640,1279,0,1919,squier-classic-vibe-70s-tele-thinline-owt-litd-edition,1919,639
350,648,1271,0,1919,fender-american-vintage-ii-1961-stratocaster-wt3tb,1919,623
351,616,1303,16,1911,brian-may-special-ac,1895,687
352,648,1271,8,1911,fender-american-professional-ii-telecaster-mn-ssb,1903,623
353,296,671,5,954,epiphone-casino-vs,949,375
354,624,1295,8,1903,d-angelico-deluxe-bedford-sh-mwln,1895,671
355,600,1319,8,1903,gretsch-guitars-streamliner-g2420t-car,1895,719
356,592,1327,0,1919,hagstrom-super-viking-tobacco-sunburst,1919,735
357,600,1319,0,1919,gretsch-guitars-electromatic-g5622-emtc-cb-dc-aged-walnut,1919,719
358,648,1263,16,1903,maybach-teleman-t61-lpb,1887,615
359,656,1255,8,1903,fender-jimi-hendrix-stratocaster-mn-owt,1895,599
360,592,1327,8,1911,hagstrom-super-viking-dark-baltic-sea-flame,1903,735
361,648,1271,0,1919,fender-vintera-70-s-tele-moc,1919,623
362,584,1335,0,1919,gretsch-guitars-g5420t-electromatic-classic-azm,1919,751
363,656,1255,16,1903,epiphone-sg-custom-ebony,1887,599
364,328,631,16,943,harmony-standard-series-silhouette-bigsby-space-black,927,303
365,320,631,0,951,gibson-les-paul-classic-translucent-cherry,951,311
366,376,583,176,783,epiphone-les-paul-classic-heritage-cherry-sunburst,607,207
367,648,1263,8,1911,fender-japan-traditional-70s-telecaster-deluxe-sfmg,1903,615
368,584,1327,0,1911,gretsch-guitars-streamliner-g2622-phntm,1911,743
369,656,1263,16,1903,schecter-silver-mountain-c-1,1887,607
370,632,1287,8,1911,gretsch-guitars-streamliner-g2217-jr-jet-club-bt-fsr-dcm,1903,655
371,328,639,0,959,epiphone-les-paul-studio-lt-eb,959,311
372,619,1300,0,1919,ibanez-artist-ar520h-bk-10147747,1919,681
373,584,1335,0,1919,gretsch-guitars-electromatic-g5422tg-dc-org,1919,751
